"name","area_2_1_15_S25_noOTA","area_2_2_15_S25_noOTA","area_2_3_15_S25_noOTA","area_2_1_15_S17_noOTA","area_2_2_15_S17_noOTA","area_2_3_15_S17_noOTA"
"group","cA_S25","cA_S25","cA_S25","cA_S17","cA_S17","cA_S17"
"Methyl b-neuraminic acid methyl ester","8167818.26560961","12467471.997949","7847782.85694096","3309314.19544229","2970699.36695856","4085461.48268095"
"Methyl diethanolamine","17254117.8532261","41876311.4781642","25144505.6849583","25726668.322487","16415371.3929413","21338901.9801243"
"Methylfarnesoate","3192113.45690189","4040378.79012675","3302895.95909388","1395340.50799111","1585495.67999735","1617789.80144387"
"MFCD00001109","104913.628685512","167487.012656901","104250.354374925","206566.119488178","216188.492447474","239616.209463086"
"MFCD00042968","95367.104394667","88871.9665406281","82000.0873836728","87611.9369586587","100882.95413874","85612.6436553187"
"MFCD00046712","1106559.37982033","1347176.45646228","1627197.75781853","388758.943422745","248223.26755591","556639.737537438"
"MFCD00144215","1389936.87893674","1370641.1287325","1464631.86833681","1464904.15031013","1379991.06757176","1406101.27613136"
"MFCD00270409","2697823.46267637","3042748.24337999","4159097.25562012","5630103.65004842","4315999.97637946","6740676.02032462"
"Monoelaidin","821473.38585646","1240100.7642384","1434055.95986675","856160.883175896","582685.623218874","1186853.92564437"
"Mucidone","187054.460592398","250668.089056514","197198.256814153","263310.845236466","274849.228064416","236234.539373871"
"N-(2-Amino-2-oxoethyl)-N'-cyclododecylsuccinamide","12196486.1773873","12270521.7756391","12223918.8250349","8533072.24037921","7991378.6196396","7486857.96743563"
"N-(5-Methyl-1,2-oxazol-3-yl)-4-[(phenylcarbamoyl)amino]benzenesulfonamide","386730.136071658","353759.710069226","395631.172758972","1274062.25854178","1249738.46896708","1284948.67259925"
"N-(6-Aminohexanoyl)-6-aminohexanoate","11100614.410035","16644531.5902394","6311403.89560705","1960770.61580744","1440482.63846692","2074816.10768966"
"N-[2-(1-hydroxy-4-methylpentyl)]acetamide","3573079.51901325","6479491.87017376","3707895.39094868","2517558.37428371","2245151.89115021","2812129.54374206"
"N-[3-(4,4-Dimethyl-2,5-dioxo-1-imidazolidinyl)-2-hydroxypropyl]-N-(3-nitrophenyl)benzenesulfonamide","2279254.33412022","2220229.91679029","2400923.43296042","2410439.22906626","2503403.59969852","2325724.08613677"
"N-Acetyl-beta-D-galactosamine","4119324.31076298","5710148.56133788","3971308.67368214","1565094.83307192","1437576.43182782","1732785.40013382"
"n-Amylbenzene","234936.44295073","323469.882869658","210942.159828133","275548.297878783","264680.879877658","322551.502276957"
"N-Cyclopropyl-2-(3-oxo-2-piperazinyl)acetamide","460890.174315123","643916.145147678","344587.275809788","237732.397596236","151494.057759445","200874.419658249"
"N-fumaryl-L-alanine dimethyl ester","1617984.76569126","1049838.05758351","1628610.08902112","956172.728906307","1037765.22950212","1296570.99573087"
"N-Tridecanoylglycine","207296.546108293","286426.296760477","63135.0415157192","78567.706676651","130062.045032047","190864.711908201"
"N,N'-Propylenebisnonanamide","61814.0462142655","61992.1047997984","57581.5065106505","56473.770124706","57958.4531944905","56519.2251472332"
"N,N,N',N'-Tetraethyl-P-(1-methyl-1H-imidazol-2-yl)phosphonic diamide","72082.8524525804","91950.8601252754","53425.5835762729","151219.05295907","189136.012112881","152052.940605414"
"N2-(D-1-Carboxyethyl)-L-lysine","1811491.81995472","2185903.05210121","1690589.44732238","926149.98236536","695882.204212627","1006978.40517166"
"Naphthalene","5947478.54782088","5813247.19668043","5881941.32117082","5847690.66908985","5452767.30562745","9934128.88648058"
"Nicotinicacid","26533922.4534757","46803469.7521765","27669020.390534","17506171.9741491","15824661.6449292","19918263.5754406"
"Nitrilotripropionamide","5112681.84197688","8681200.82854713","5325820.04400179","5911133.46059412","5092860.86427162","6352267.90244725"
